Name,Booth,Category,Website,Address
Beyond Gravity,V17,Electronics Manufacturing | Manufacturing | Subsystem / Systems Supplier,http://www.beyondgravity.com,"Schaffhauserstrasse 580, Zürich, Switzerland, 8052."
BHE Ltd.,F29,Electronics Manufacturing | Subsystem / Systems Supplier | Communications & Ground Systems,http://www.bhe-corp.com,"Ipari Park Str. 10., Budapest, Hungary, H-1044."
Blackwave GmbH,V31,Components – Mechanical / Other,http://www.copv.com,"Rotwandweg 8, Munich - Taufkirchen, Germany, 82024."
Blue Cubed,ZZZ01,Optics | Subsystem / Systems Supplier | Communications & Ground Systems,http://www.bluecubed.net,"1460 Overlook Dr, Lafayette, CO, United States, 80026."
Blue Dot Solutions,N30,Engineering Consultancy | Design / Engineering Services | Research,http://www.bluedotsolutions.eu,"al. Grunwaldzka 472, Gdańsk, Poland, 80-319."
BMT Fluid Control Solutions GmbH,Z40,Components – Electronic / Electrical | Components – Mechanical / Other | Subsystem / Systems Supplier,https://www.pumps-valves.eu/aerospace-engineering-valves-pumps/,"Max-Planck-Straße 16, Friedrichsdorf, Germany, 61381."
Bradford Space,G52,Components – Mechanical / Other | Subsystem / Systems Supplier | Communications & Ground Systems,http://www.bradford-space.com,"De Wijper 26, Heerle, Netherlands, 4726TG."
Bremen/Bremerhaven – City of Space,H25,Research | Security / Government,https://www.aviaspace-bremen.de/,"Fahrenheitstraße 1, Bremen, Germany, 28359."
Bright Ascension Ltd,D25,Engineering Consultancy | Software Supplier / Developer | Satellite Operations / Development,http://www.brightascension.com,"1 Laurel Bank, Dundee, Scotland, United Kingdom, DD3 6JA."
BRIGHT SOLUTIONS S.R.L.,609,Design / Engineering Services | Manufacturing | Optics,http://www.brightsolutions.it,"VIA DEGLI ARTIGIANI 27, CURA CARPIGNANO, Italy, Italy, 27010."
BRIGHT SOLUTIONS S.R.L.,Q19,Design / Engineering Services | Manufacturing | Optics,http://www.brightsolutions.it,"VIA DEGLI ARTIGIANI 27, CURA CARPIGNANO, Italy, Italy, 27010."
BrightSpot Automation LLC,W36,Research | Electronics Manufacturing | Test & Measurement,http://www.brightspotautomation.com,"5401 Western Ave, Suite E, Boulder, CO, United States, 80301."
Brno Space Cluster,R36,Design / Engineering Services | Satellite Operations / Development | Communications & Ground Systems,https://brnospacecluster.cz/,"Výstaviště 569/3, Pisárky, Brno, Czech Republic, 60300."
BULL SAS,U21,Launch Services | Subsystem / Systems Supplier | Security / Government,https://bull-space.com/,"43 rue de Liège, Paris, Île-de-France, France, 75008."
BUMAX AB,ZZ12,Design / Engineering Services | Materials Supplier | Manufacturing,http://www.bumax-fasteners.com,"Bultvägen 1, Äshammar, Sweden, 91294."
C3S Electronics Development LLC,C38,Design / Engineering Services | Electronics Manufacturing | Satellite Operations / Development,http://www.c3s.hu,"Könyves Kálmán krt. 12-14., Budapest, Pest, Hungary, 1097."
Caeleste,S29,Design / Engineering Services | Components – Electronic / Electrical | Optics,http://www.caeleste.be,"Hendrik Consciencestraat, 1 b, Mechelen, Belgium, 2800."
Cailabs,E17,Manufacturing | Optics | Communications & Ground Systems,http://www.cailabs.com,"1 rue Nicolas Joseph Cugnot, Rennes, France, 35000."
Calnex Solutions,621,Software Supplier / Developer | Test & Measurement | Communications & Ground Systems,https://calnexsol.com/solutions/emulating-ntn-satellite-networks/,"Oracle Campus, Linlithgow, United Kingdom, EH49 7LR."
CalRamic Technologies LLC,ZZ42,Components – Electronic / Electrical | Electronics Manufacturing | Manufacturing,http://www.calramic.com,"5462 Louie Lane, Reno, NV, United States, 89511."
Canon Europa N.V.,Y19,Manufacturing | Optics,http://www.canon-europe.com,"Bovenkerkerweg 59, Amstelveen, Netherlands, 1185 XB."
Capsule Corporation,Q11,Manufacturing | Subsystem / Systems Supplier | Security / Government,http://www.capsule-corp.biz,"Via Aurelio Saffi 21, Milan, Italy, 20123."
Carpenteria Colombo Ferruccio S.R.L,E03,Components – Mechanical / Other | Manufacturing | Communications & Ground Systems,http://www.carpenteriacolombo.com,"Via Artigianale n. 1, Monte Marenzo, Italy, 23804."
Catalonia Space,S26,Research | Satellite Operations / Development | Communications & Ground Systems,http://www.ieec.cat,"Esteve Terradas 1, RDIT Building, Office 212 Mediterranean Technology Park (PMT), Baix Llobregat Campus - UPC, Castelldefels (Barcelona), Catalonia, Spain, 08860."
CAVU Aerospace,215,Components – Electronic / Electrical | Electronics Manufacturing | Manufacturing,http://www.cavuaerospace.uk,"12 Scion House, Stirling University Innovation Park,, Stirling, United Kingdom, FK9 4NF."
CCww,Y36,Software Supplier / Developer | Satellite Operations / Development | Communications & Ground Systems,http://www.ccww.co.uk,"Beacon House, 15 Christchurch Road, Bournemouth, United Kingdom, BH1 3LB."
Cedrat Technologies SAS,F22,Components – Mechanical / Other | Optics | Communications & Ground Systems,https://www.cedrat-technologies.com/en/,"59 Chemin du Vieux Chene, INOVALLEE, Meylan Cedex, France, 38246."
CEiiA,C09,Engineering Consultancy | Research | Satellite Operations / Development,https://ceiia.com,"Av. Dom Afonso Henriques, 1825, Matosinhos, Portugal, 4450-017."
Celestia,N41,Subsystem / Systems Supplier | Test & Measurement | Communications & Ground Systems,https://celestia-tech.com/,"Huygensstraat 44, Noordwijk, Netherlands, 2201 DK."
Celtonn Limited,Y13,Manufacturing | Subsystem / Systems Supplier | Communications & Ground Systems,http://www.celtonn.com,"NovaUCD, Belfield Innovation Park, Dublin, Ireland, D04 V2P1."
CEMEC GmbH,F34,Design / Engineering Services | Manufacturing | Optics,http://www.cemec.de,"Gewerbepark Hügelmühle 30, Spalt, Germany, 91174."
Center for Physical Sciences and Technology,K11,Research | Academia | Optics,https://www.ftmc.lt/en,"Saulėtekio av. 3, Vilnius, Lithuania, LT-10257."
CENTILLION,N51,Electronics Manufacturing | Manufacturing,http://www.centillion.eu,"ILIYA BESHKOV 6A, Sofia, Bulgaria, 1592."
